Better Click To Tweet;https://ru.wordpress.org/plugins/better-click-to-tweet/;Insert click to tweet boxes into your posts, simply and securely. Gutenberg/WordPress 5.X+ block included.;10 000+ активных установок;6.1.1
Getwid — Gutenberg Blocks;https://ru.wordpress.org/plugins/getwid/;40+ Gutenberg Blocks, plus multiple pre-made free block templates for the WordPress block editor.;50 000+ активных установок;6.1.1
WS Form LITE — Drag & Drop Contact Form Builder for WordPress;https://ru.wordpress.org/plugins/ws-form/;The Ultimate Drag and Drop Form Builder for WordPress. Create Professional, Mobile Friendly, Accessible Contact…;3 000+ активных установок;6.1.1
Spectra — WordPress Gutenberg Blocks;https://ru.wordpress.org/plugins/ultimate-addons-for-gutenberg/;Усиление Gutenberg’а продвинутыми блоками, помогающими создавать сайты в кратчайшие сроки! Это первый плагин Gutenberg созданный…;400 000+ активных установок;6.1.1
Classic Editor;https://ru.wordpress.org/plugins/classic-editor/;Включает предыдущую «классическую» версию редактора и экран редактирования записей в старом стиле, с TinyMCE, полями…;5+ млн активных установок;6.1.1
Akismet Spam Protection;https://ru.wordpress.org/plugins/akismet/;Лучшая защита от спама для блокировки спам-комментариев и спама в контактной форме. Самое надежное решение…;5+ млн активных установок;6.1.1
Jetpack предназначен для защиты, резервного копирования, повышения скорости работы и развития вашего сайта WordPress;https://ru.wordpress.org/plugins/jetpack/;Обеспечьте дополнительную защиту сайта WordPress с помощью простых, но эффективных инструментов: резервного копирования и проверки…;5+ млн активных установок;6.1.1
Classic Widgets;https://ru.wordpress.org/plugins/classic-widgets/;Включает экраны настройки классических виджетов в Внешний вид — Виджеты и интерфейс настройки темы. Отключает…;1+ млн активных установок;6.1.1
Plugin Dependencies;https://ru.wordpress.org/plugins/wp-plugin-dependencies/;Parses a 'Requires Plugins' header and adds a Dependencies tab in the plugin install page.…;100+ активных установок;6.2
Gutenberg;https://ru.wordpress.org/plugins/gutenberg/;Плагин Gutenberg предоставляет функции редактирования, настройки и построения сайтов на WordPress. Этот бета-плагин позволяет отработать…;300 000+ активных установок;6.1.1
Performance Lab;https://ru.wordpress.org/plugins/performance-lab/;Плагин производительности от «WordPress Performance Team», который содержит набор автономных модулей производительности.;40 000+ активных установок;6.1.1
Two-Factor;https://ru.wordpress.org/plugins/two-factor/;Включить двухфакторную аутентификацию с использованием одноразовых паролей (OTP, Google Authenticator), Универсальный 2-й фактор (FIDO U2F,…;50 000+ активных установок;6.0.3
Contact Form 7;https://ru.wordpress.org/plugins/contact-form-7/;Ещё один плагин контактных форм. Простой, но гибкий.;5+ млн активных установок;6.1.1
Yoast SEO;https://ru.wordpress.org/plugins/wordpress-seo/;Улучшите SEO вашего WordPress: поработайте над качеством контента и получите полностью оптимизированный WordPress-сайт с помощью…;5+ млн активных установок;6.1.1
Elementor — конструктор сайтов;https://ru.wordpress.org/plugins/elementor/;В конструкторе сайтов Elementor есть всё: визуальный конструктор страниц работающий на принципе перетащи и вставь,…;5+ млн активных установок;6.1.1
Classic Editor;https://ru.wordpress.org/plugins/classic-editor/;Включает предыдущую «классическую» версию редактора и экран редактирования записей в старом стиле, с TinyMCE, полями…;5+ млн активных установок;6.1.1
